id,source,text,image_path,clean_text
b2dc4710,Twitter,"In Gaza’s tent camps, families face the daily aftermath of Israel’s war. Rats, debris and sewage endanger children, causing injuries and health risks. Conditions remain dire despite the ceasefire, highlighting the ongoing humanitarian crisis.",dataset/twitter_images/b2dc4710.jpg,"In Gaza’s tent camps, families face the daily aftermath of Israel’s war. Rats, debris and sewage endanger children, causing injuries and health risks. Conditions remain dire despite the ceasefire, highlighting the ongoing humanitarian crisis."
25001536,Twitter,Heartbreaking reality from Gaza—children playing funerals as war trauma deepens. A humanitarian crisis beyond headlines. #allindiastory #Gaza #Palestine #WarImpact #HumanRights #BreakingNews   https:// allindiastory.com/gaza-war-impac t-children-play-funerals-amid-trauma-as-conflict-deepens-humanitarian-crisis …,dataset/twitter_images/25001536.jpg,Heartbreaking reality from Gaza—children playing funerals as war trauma deepens. A humanitarian crisis beyond headlines. #allindiastory #Gaza #Palestine #WarImpact #HumanRights #BreakingNews allindiastory.com/gaza-war-impac t-children-play-funerals-amid-trauma-as-conflict-deepens-humanitarian-crisis …
f2de91c7,Twitter," GAZA: THE CRISIS CONTINUES  ​Despite the ceasefire, families in tent camps are living a nightmare. Rats, sewage, and debris are everywhere, putting children at constant risk of injury and disease.  ​The war may be paused, but the humanitarian catastrophe is far from",dataset/twitter_images/f2de91c7.jpg,"GAZA: THE CRISIS CONTINUES ​Despite the ceasefire, families in tent camps are living a nightmare. Rats, sewage, and debris are everywhere, putting children at constant risk of injury and disease. ​The war may be paused, but the humanitarian catastrophe is far from"
ac97fbbc,Twitter,"As war spreads across Lebanon, millions are being displaced. This is not a distant humanitarian crisis, says  @UNHCRUK  goodwill ambassador Theo James  – it is a warning of how fragile safety really is",dataset/twitter_images/ac97fbbc.jpg,"As war spreads across Lebanon, millions are being displaced. This is not a distant humanitarian crisis, says goodwill ambassador Theo James – it is a warning of how fragile safety really is"
fceef661,Twitter,"#War remnants don’t just threaten lives every day—they also prevent communities from rebuilding, restrict humanitarian work, and worsen the country’s humanitarian crisis. #InternationalMineActionDay",dataset/twitter_images/fceef661.jpg,"#War remnants don’t just threaten lives every day—they also prevent communities from rebuilding, restrict humanitarian work, and worsen the country’s humanitarian crisis. #InternationalMineActionDay"
ab48a1ee,Twitter,"Mario. Your propaganda won’t matter if Iran loses it’s water supply, electric grid, oil, ports. Your friends at IRGC won’t be able to manage a humanitarian crisis and civil war.",dataset/twitter_images/ab48a1ee.jpg,"Mario. Your propaganda won’t matter if Iran loses it’s water supply, electric grid, oil, ports. Your friends at IRGC won’t be able to manage a humanitarian crisis and civil war."
2e98607d,Twitter,"President and CEO of the International Rescue Committee, and Former UK Foreign Secretary, David Miliband talks about his trip to the Middle East and the growing humanitarian crisis in the region caused by the Iran war.",dataset/twitter_images/2e98607d.jpg,"President and CEO of the International Rescue Committee, and Former UK Foreign Secretary, David Miliband talks about his trip to the Middle East and the growing humanitarian crisis in the region caused by the Iran war."
a15e550f,Twitter,Week 1 focuses on historical foundations & documented patterns of #AmharaGenocide Week 2 focuses on the current war & humanitarian crisis Week 3 focuses on prisoners of conscience and silenced voices Week 4 focuses on what comes next to ensure the safety & survival of all Amharas,dataset/twitter_images/a15e550f.jpg,Week 1 focuses on historical foundations & documented patterns of #AmharaGenocide Week 2 focuses on the current war & humanitarian crisis Week 3 focuses on prisoners of conscience and silenced voices Week 4 focuses on what comes next to ensure the safety & survival of all Amharas
3b6aab0e,Twitter,I mean who’s not experiencing depression these war and humanitarian-economic crisis days?,dataset/twitter_images/3b6aab0e.jpg,I mean who’s not experiencing depression these war and humanitarian-economic crisis days?
1ef0db9d,Twitter,"South Sudan is facing a deepening humanitarian crisis, with aid organizations warning that reported abuses against civilians could amount to war crimes.  Humanitarian groups say millions are struggling to access basic needs such as food, water, and healthcare, as conditions",dataset/twitter_images/1ef0db9d.jpg,"South Sudan is facing a deepening humanitarian crisis, with aid organizations warning that reported abuses against civilians could amount to war crimes. Humanitarian groups say millions are struggling to access basic needs such as food, water, and healthcare, as conditions"
